protein	count
P62424	2
P04818	6
Q15819	6
P17931	12
Q5VWG9	1
P49354	1
Q15631	1
Q92900	2
P52895	1
Q8WVC0	4
Q6DD88	7
P00568	11
Q92614	8
Q9NTI5	7
O00401	1
O00442	7
P62633	6
P09972	7
Q99717	1
Q99436	1
Q99536	4
Q16576	22
Q9NP79	2
Q00013	4
Q9UBT2	2
O60610	1
P35269	11
P12814	19
O15198	1
Q15691	2
Q0VDF9	2
Q4G0J3	3
P05455	6
Q9NYV4	3
Q04695	1
Q9UNF0	4
P35611	2
Q15436	3
P49721	4
Q96L50	1
Q2M389	5
Q15942	5
Q96IZ0	2
P52597	12
Q9C005	22
P25398	8
Q9BYB4	1
Q13283	7
Q14683	6
Q9NUU7	1
P14324	2
Q9UHX1	17
P05161	1
O76003	2
K1M1_SHEEP	1
Q9NTJ3	17
Q9UJU6	3
Q9Y3C8	2
Q8NI27	7
Q9Y6B6	1
P41567	3
Q8IU81	2
P31943	40
P67775	4
Q9Y5K6	3
Q9NWV4	1
Q16719	4
P30520	7
P24534	7
P09661	5
O60763	2
Q6NVY1	1
O15047	1
P62136	11
Q09161	4
P50914	2
O95218	6
P55039	1
P18124	1
P60983	1
P57737	1
O75822	4
Q9NXF1	1
P14625	3
P78344	3
Q14839	17
O60885	10
P43034	1
Q12974	1
O14617	1
O15160	1
Q96FF9	1
Q92747	4
Q9BYG3	1
P25786	5
P48382	2
Q9BTT0	1
P11388	8
Q6ZRS2	4
Q9UMX0	2
O60506	8
O14964	1
P21108	1
Q96C90	1
Q92890	3
Q15056	4
Q96L91	1
P13010	3
P63244	3
P54278	1
P30153	11
Q9NRX1	1
Q13888	2
Q63HN8	5
P25490	2
P51858	7
Q9NYT0	1
Q00535	5
P61764	2
P11172	4
P60763	2
Q9Y3B2	3
Q9BRX2	1
Q00403	1
Q9NR31	1
Q9Y265	29
P54105	2
Q15437	3
Q4J6C6	1
Q96DG6	1
Q9BUL5	2
Q9NPF5	3
Q13813	19
P61221	2
O43395	2
P48059	3
O75400	5
P35249	9
P62195	6
Q8N684	3
Q9UL15	1
Q9UNI6	7
Q9H4L7	1
P08651	1
O15514	1
Q86WR0	1
P07237	2
P00491	6
Q15021	7
P31151	1
P08708	3
O00303	10
O60716	1
P33992	9
O43776	2
P28482	2
Q9UJW0	1
Q96JM3	2
Q15424	3
P43487	2
O95104	2
NM_058195_1	1
Q9H3M7	1
P52888	3
P41091	6
Q9UBQ0	2
O60231	3
Q8WZ82	7
Q9Y2W1	5
P11142	69
Q9UBD5	5
Q9UFW8	1
Q96P70	3
Q14697	1
Q53F19	1
P49736	3
P63279	2
P61978	27
O95747	3
P61086	2
Q96QC0	4
Q12996	2
P21291	16
O95630	1
O75934	3
P78345	1
O14562	1
Q96MW1	1
P08133	2
O75914	1
P21399	2
Q9UHR4	1
Q9Y383	13
Q9UID3	1
P40937	3
Q13748	27
Q14847	3
P82979	2
Q9P253	1
Q9BZK7	1
P17480	6
P05549	1
Q9UQ35	6
P07900	19
Q9BXB4	2
P31689	2
P01891	1
P11021	30
Q15126	6
P43243	25
P13797	3
P07355	33
Q15149	4
Q15075	2
Q05193	1
P08397	2
P10155	6
Q13310	3
Q96EK5	2
P29353	2
Q14651	1
Q13247	4
Q9UJX4	4
P35659	5
P14735	2
P23246	7
P23921	7
Q149N8	1
P50452	1
A0AVT1	1
P31939	15
Q6PKG0	1
Q9GZP8	1
Q86XP3	8
Q9NPD8	7
P09651	29
Q14919	1
Q96KQ7	3
Q5JTH9	2
O94805	1
Q01650	2
Q9Y333	2
Q14141	2
Q5VWQ0	1
P21281	1
Q9BRP8	2
Q9H2U1	2
Q04446	2
O75150	5
Q8N1G2	2
P46777	5
P29401	6
K1H1_HUMAN	1
O75223	10
Q02241	3
O95678	1
Q13523	5
O94842	2
Q86U44	2
P31150	2
P34932	6
P60953	5
P30043	3
O76021	1
O43399	2
P82970	2
Q12873	3
P18858	6
P62191	8
P27816	11
P40692	3
Q15369	2
P49842	1
Q14147	1
O43809	10
O43314	2
P53004	3
Q9UGU5	1
Q96B97	3
P25789	7
Q9NRW7	2
Q9NYP3	1
P05198	7
Q15906	1
Q9NRF9	2
O14579	1
Q15532	1
NM_203488_1	1
Q13889	1
O43390	7
Q9GZL7	1
Q6RFH5	2
Q9P2I0	4
O60216	4
Q96DI7	5
P37837	4
Q9P000	1
P06753	10
Q9BTE7	1
O75369	22
O00231	18
P15531	23
P55786	2
Q9UQ80	4
P62249	6
O75376	1
Q6PD62	9
Q13200	10
P51532	5
P23919	1
P11940	15
P68366	7
Q8IYS1	3
Q56P03	1
Q15004	2
O43633	1
Q13451	2
P27348	22
P21266	1
Q05048	3
Q8TDP1	2
O75674	1
P12081	1
Q9H8Y5	3
Q9BTE6	1
Q9BT78	3
Q8N6R0	1
Q08J23	5
Q9H9Y6	1
Q9HAV4	2
Q9BZZ5	4
Q02750	17
Q14444	5
Q9BSJ2	3
Q00341	4
Q7LBC6	2
Q9UKV3	7
O96013	1
Q10570	2
NM_080738_1	3
Q13155	2
Q86YP4	7
P21127	6
Q14978	7
O60907	4
Q92889	1
A3KN83	3
Q9NP66	1
Q68E01	9
P19388	3
Q99961	2
Q96FZ2	2
Q8IX15	2
O60361	3
P40763	3
Q9NVC6	1
O14519	1
